Track,Position,No,Driver,Team,Q1,Q2,Q3,Laps,Season,Q1_seconds,Q2_seconds,Q3_seconds
Bahrain,2.0,1,Max Verstappen,Red Bull Racing RBPT,1:31.785,1:30.757,1:30.681,14,2022,91.785,90.757,90.681
Saudi Arabia,4.0,1,Max Verstappen,Red Bull Racing RBPT,1:28.928,1:28.945,1:28.461,22,2022,88.928,88.945,88.461
Australia,2.0,1,Max Verstappen,Red Bull Racing RBPT,1:18:580,1:18.611,1:18.154,21,2022,5260.0,78.611,78.154
Emilia Romagna,1.0,1,Max Verstappen,Red Bull Racing RBPT,1:19.295,1:18.793,1:27.999,22,2022,79.295,78.793,87.999
Miami,3.0,1,Max Verstappen,Red Bull Racing RBPT,1:28.836,1:29.202,1:28.991,18,2022,88.836,89.202,88.991
Spain,2.0,1,Max Verstappen,Red Bull Racing RBPT,1:20.091,1:19.219,1:19.073,16,2022,80.09100000000001,79.219,79.07300000000001
Monaco,4.0,1,Max Verstappen,Red Bull Racing RBPT,1:12.993,1:12.117,1:11.666,25,2022,72.993,72.117,71.666
Azerbaijan,3.0,1,Max Verstappen,Red Bull Racing RBPT,1:42.722,1:42.227,1:41.706,19,2022,102.72200000000001,102.227,101.706
Canada,1.0,1,Max Verstappen,Red Bull Racing RBPT,1:32.219,1:23.746,1:21.299,30,2022,92.219,83.746,81.299
Great Britain,2.0,1,Max Verstappen,Red Bull Racing RBPT,1:39.129,1:40.655,1:41.055,24,2022,99.12899999999999,100.655,101.055
Austria,1.0,1,Max Verstappen,Red Bull Racing RBPT,1:05.852,1:05.374,1:04.984,19,2022,65.852,65.374,64.984
France,2.0,1,Max Verstappen,Red Bull Racing RBPT,1:31.891,1:31.990,1:31.176,14,2022,91.89099999999999,91.99,91.176
Hungary,10.0,1,Max Verstappen,Red Bull Racing RBPT,1:18.509,1:17.703,1:18.823,21,2022,78.509,77.703,78.82300000000001
Belgium,1.0,1,Max Verstappen,Red Bull Racing RBPT,1:44.581,1:44.723,1:43.665,9,2022,104.581,104.723,103.66499999999999
Netherlands,1.0,1,Max Verstappen,Red Bull Racing RBPT,1:11.317,1:10.927,1:10.342,12,2022,71.31700000000001,70.92699999999999,70.342
Italy,2.0,1,Max Verstappen,Red Bull Racing RBPT,1:20.922,1:21.265,1:20.306,16,2022,80.922,81.265,80.306
Singapore,8.0,1,Max Verstappen,Red Bull Racing RBPT,1:53.057,1:52.723,1:51.395,20,2022,113.057,112.723,111.39500000000001
Japan,1.0,1,Max Verstappen,Red Bull Racing RBPT,1:30.224,1:30.346,1:29.304,13,2022,90.224,90.346,89.304
United States,3.0,1,Max Verstappen,Red Bull Racing RBPT,1:35.864,1:35.294,1:34.448,15,2022,95.864,95.294,94.44800000000001
Mexico,1.0,1,Max Verstappen,Red Bull Racing RBPT,1:19.222,1:18.566,1:17.775,16,2022,79.22200000000001,78.566,77.775
Brazil,2.0,1,Max Verstappen,Red Bull Racing RBPT,1:13.625,1:10.881,1:11.877,23,2022,73.625,70.881,71.877
Abu Dhabi,1.0,1,Max Verstappen,Red Bull Racing RBPT,1:24.754,1:24.622,1:23.824,17,2022,84.754,84.622,83.824
Bahrain,1.0,1,Max Verstappen,Red Bull Racing Honda RBPT,1:31.295,1:30.503,1:29.708,15,2023,91.295,90.503,89.708
Saudi Arabia,15.0,1,Max Verstappen,Red Bull Racing Honda RBPT,1:28.761,1:49.953,,6,2023,88.761,109.953,
Australia,1.0,1,Max Verstappen,Red Bull Racing Honda RBPT,1:17.384,1:17.056,1:16.732,24,2023,77.384,77.056,76.732
Azerbaijan,2.0,1,Max Verstappen,Red Bull Racing Honda RBPT,1:41.398,1:40.822,1:40.391,20,2023,101.398,100.822,100.39099999999999
Miami,9.0,1,Max Verstappen,Red Bull Racing Honda RBPT,1:27.363,1:26.814,DNF,15,2023,87.363,86.814,
Monaco,1.0,1,Max Verstappen,Red Bull Racing Honda RBPT,1:12.386,1:11.908,1:11.365,30,2023,72.386,71.908,71.365
Spain,1.0,1,Max Verstappen,Red Bull Racing Honda RBPT,1:13.615,1:12.760,1:12.272,20,2023,73.615,72.76,72.272
Canada,1.0,1,Max Verstappen,Red Bull Racing Honda RBPT,1:20.851,1:19.092,1:25.858,26,2023,80.851,79.092,85.858
Austria,1.0,1,Max Verstappen,Red Bull Racing Honda RBPT,1:05.116,1:04.951,1:04.391,24,2023,65.116,64.951,64.391
Great Britain,1.0,1,Max Verstappen,Red Bull Racing Honda RBPT,1:29.428,1:27.702,1:26.720,26,2023,89.428,87.702,86.72
Hungary,2.0,1,Max Verstappen,Red Bull Racing Honda RBPT,1:18.318,1:17.547,1:16.612,21,2023,78.318,77.547,76.612
Belgium,1.0,1,Max Verstappen,Red Bull Racing Honda RBPT,1:58.515,1:52.784,1:46.168,22,2023,118.515,112.78399999999999,106.168
