Track,Position,No,Driver,Team,Starting Grid,Laps,Total Time/Gap/Retirement,Points,Fastest Lap,Season,Time/Retired,+1 Pt,Set Fastest Lap,Fastest Lap Time,Time/Retired_seconds,Fastest Lap Time_seconds,Position Change
Australia,3.0,33,Max Verstappen,Red Bull Racing Honda,4,58,+22.520,15.0,No,2019,,,,,,,1.0
Bahrain,4.0,33,Max Verstappen,Red Bull Racing Honda,5,57,+6.408,12.0,No,2019,,,,,,,1.0
China,4.0,33,Max Verstappen,Red Bull Racing Honda,5,56,+27.627,12.0,No,2019,,,,,,,1.0
Azerbaijan,4.0,33,Max Verstappen,Red Bull Racing Honda,4,51,+17.493,12.0,No,2019,,,,,,,0.0
Spain,3.0,33,Max Verstappen,Red Bull Racing Honda,4,66,+7.679,15.0,No,2019,,,,,,,1.0
Monaco,4.0,33,Max Verstappen,Red Bull Racing Honda,3,78,+5.537,12.0,No,2019,,,,,,,-1.0
Canada,5.0,33,Max Verstappen,Red Bull Racing Honda,9,70,+57.655,10.0,No,2019,,,,,,,4.0
France,4.0,33,Max Verstappen,Red Bull Racing Honda,4,53,+34.905,12.0,No,2019,,,,,,,0.0
Austria,1.0,33,Max Verstappen,Red Bull Racing Honda,2,71,1:22:01.822,26.0,Yes,2019,,,,,,,1.0
Great Britain,5.0,33,Max Verstappen,Red Bull Racing Honda,4,52,+39.458,10.0,No,2019,,,,,,,-1.0
Germany,1.0,33,Max Verstappen,Red Bull Racing Honda,2,64,1:44:31.275,26.0,Yes,2019,,,,,,,1.0
Hungary,2.0,33,Max Verstappen,Red Bull Racing Honda,1,70,+17.796,19.0,Yes,2019,,,,,,,-1.0
Belgium,,33,Max Verstappen,Red Bull Racing Honda,5,0,DNF,0.0,No,2019,,,,,,,
Italy,8.0,33,Max Verstappen,Red Bull Racing Honda,19,53,+74.492,4.0,No,2019,,,,,,,11.0
Singapore,3.0,33,Max Verstappen,Red Bull Racing Honda,4,61,+3.821,15.0,No,2019,,,,,,,1.0
Russia,4.0,33,Max Verstappen,Red Bull Racing Honda,9,53,+14.210,12.0,No,2019,,,,,,,5.0
Japan,,33,Max Verstappen,Red Bull Racing Honda,5,14,DNF,0.0,No,2019,,,,,,,
Mexico,6.0,33,Max Verstappen,Red Bull Racing Honda,4,71,+68.807,8.0,No,2019,,,,,,,-2.0
United States,3.0,33,Max Verstappen,Red Bull Racing Honda,3,56,+5.002,15.0,No,2019,,,,,,,0.0
Brazil,1.0,33,Max Verstappen,Red Bull Racing Honda,1,71,1:33:14.678,25.0,No,2019,,,,,,,0.0
Abu Dhabi,2.0,33,Max Verstappen,Red Bull Racing Honda,2,55,+16.772,18.0,No,2019,,,,,,,0.0
Austria,,33,Max Verstappen,Red Bull Racing Honda,2,11,DNF,0.0,No,2020,,,,,,,
Styria,3.0,33,Max Verstappen,Red Bull Racing Honda,2,71,+33.698,15.0,No,2020,,,,,,,-1.0
Hungary,2.0,33,Max Verstappen,Red Bull Racing Honda,7,70,+8.702,18.0,No,2020,,,,,,,5.0
Great Britain,2.0,33,Max Verstappen,Red Bull Racing Honda,3,52,+5.856,19.0,Yes,2020,,,,,,,1.0
70th Anniversary,1.0,33,Max Verstappen,Red Bull Racing Honda,4,52,1:19:41.993,25.0,No,2020,,,,,,,3.0
Spain,2.0,33,Max Verstappen,Red Bull Racing Honda,3,66,+24.177,18.0,No,2020,,,,,,,1.0
Belgium,3.0,33,Max Verstappen,Red Bull Racing Honda,3,44,+15.455,15.0,No,2020,,,,,,,0.0
Italy,,33,Max Verstappen,Red Bull Racing Honda,5,30,DNF,0.0,No,2020,,,,,,,
Tuscany,,33,Max Verstappen,Red Bull Racing Honda,3,0,DNF,0.0,No,2020,,,,,,,
Russia,2.0,33,Max Verstappen,Red Bull Racing Honda,2,53,+7.729,18.0,No,2020,,,,,,,0.0
Eifel,2.0,33,Max Verstappen,Red Bull Racing Honda,3,60,+4.470,19.0,Yes,2020,,,,,,,1.0
Portugal,3.0,33,Max Verstappen,Red Bull Racing Honda,3,66,+34.508,15.0,No,2020,,,,,,,0.0
Emilia Romagna,,33,Max Verstappen,Red Bull Racing Honda,3,50,DNF,0.0,No,2020,,,,,,,
Turkey,6.0,33,Max Verstappen,Red Bull Racing Honda,2,58,+44.873,8.0,No,2020,,,,,,,-4.0
Bahrain,2.0,33,Max Verstappen,Red Bull Racing Honda,3,57,+1.254,19.0,Yes,2020,,,,,,,1.0
Sakhir,,33,Max Verstappen,Red Bull Racing Honda,3,0,DNF,0.0,No,2020,,,,,,,
Abu Dhabi,1.0,33,Max Verstappen,Red Bull Racing Honda,1,55,1:36:28.645,25.0,No,2020,,,,,,,0.0
Bahrain,2.0,33,Max Verstappen,Red Bull Racing Honda,1,56,,18.0,1:33.228,2021,+0.745,No,,,,,-1.0
Emilia Romagna,1.0,33,Max Verstappen,Red Bull Racing Honda,2,63,,25.0,1:17.524,2021,2:02:34.598,No,,,7354.598,,1.0
Portugal,2.0,33,Max Verstappen,Red Bull Racing Honda,3,66,,18.0,1:20.695,2021,+29.148,No,,,,,1.0
Spain,2.0,33,Max Verstappen,Red Bull Racing Honda,2,66,,19.0,1:18.149,2021,+15.841,Yes,,,,,0.0
Monaco,1.0,33,Max Verstappen,Red Bull Racing Honda,2,78,,25.0,1:14.649,2021,1:38:56.820,No,,,5936.82,,1.0
Azerbaijan,18.0,33,Max Verstappen,Red Bull Racing Honda,3,45,,0.0,1:44.481,2021,DNF,No,,,,,-15.0
France,1.0,33,Max Verstappen,Red Bull Racing Honda,1,53,,26.0,1:36.404,2021,1:27:25.770,Yes,,,5245.77,,0.0
Styria,1.0,33,Max Verstappen,Red Bull Racing Honda,1,71,,25.0,1:08.017,2021,1:22:18.925,No,,,4938.925,,0.0
Austria,1.0,33,Max Verstappen,Red Bull Racing Honda,1,71,,26.0,1:06.200,2021,1:23:54.543,Yes,,,5034.543,,0.0
Great Britain,,33,Max Verstappen,Red Bull Racing Honda,1,0,,0.0,,2021,DNF,No,,,,,
Hungary,9.0,33,Max Verstappen,Red Bull Racing Honda,3,70,,2.0,1:20.945,2021,+80.244,No,,,,,-6.0
Belgium,1.0,33,Max Verstappen,Red Bull Racing Honda,1,1,,12.5,,2021,0:03:27.071,No,,,207.071,,0.0
Netherlands,1.0,33,Max Verstappen,Red Bull Racing Honda,1,72,,25.0,1:13.275,2021,1:30:05.395,No,,,5405.395,,0.0
Italy,,33,Max Verstappen,Red Bull Racing Honda,1,25,,0.0,1:25.173,2021,DNF,No,,,,,
Russia,2.0,33,Max Verstappen,Red Bull Racing Honda,20,53,,18.0,1:38.396,2021,+53.271,No,,,,,18.0
Turkey,2.0,33,Max Verstappen,Red Bull Racing Honda,2,58,,18.0,1:32.759,2021,+14.584,No,,,,,0.0
United States,1.0,33,Max Verstappen,Red Bull Racing Honda,1,56,,25.0,1:39.096,2021,1:34:36.552,No,,,5676.552,,0.0
Mexico,1.0,33,Max Verstappen,Red Bull Racing Honda,3,71,,25.0,1:18.999,2021,1:38:39.086,No,,,5919.086,,2.0
Brazil,2.0,33,Max Verstappen,Red Bull Racing Honda,2,71,,18.0,1:12.486,2021,+10.496,No,,,,,0.0
Qatar,2.0,33,Max Verstappen,Red Bull Racing Honda,7,57,,19.0,1:23.196,2021,+25.743,Yes,,,,,5.0
Saudi Arabia,2.0,33,Max Verstappen,Red Bull Racing Honda,3,50,,18.0,1:31.488,2021,+21.825,No,,,,,1.0
Abu Dhabi,1.0,33,Max Verstappen,Red Bull Racing Honda,1,58,,26.0,1:26.103,2021,1:30:17.345,Yes,,,5417.345,,0.0
Bahrain,19.0,1,Max Verstappen,Red Bull Racing RBPT,2,54,,0.0,1:35.440,2022,DNF,No,,,,,-17.0
Saudi Arabia,1.0,1,Max Verstappen,Red Bull Racing RBPT,4,50,,25.0,1:31.772,2022,1:24:19.293,No,,,5059.293,,3.0
Australia,,1,Max Verstappen,Red Bull Racing RBPT,2,38,,0.0,1:21.677,2022,DNF,No,,,,,
Emilia Romagna,1.0,1,Max Verstappen,Red Bull Racing RBPT,1,63,,26.0,1:18.446,2022,1:32:07.986,Yes,,,5527.986,,0.0
Miami,1.0,1,Max Verstappen,Red Bull Racing RBPT,3,57,,26.0,1:31.361,2022,1:34:24.258,Yes,,,5664.258,,2.0
Spain,1.0,1,Max Verstappen,Red Bull Racing RBPT,2,66,,25.0,1:25.456,2022,1:37:20.475,No,,,5840.475,,1.0
Monaco,3.0,1,Max Verstappen,Red Bull Racing RBPT,4,64,,15.0,1:16.052,2022,+1.491,No,,,,,1.0
Azerbaijan,1.0,1,Max Verstappen,Red Bull Racing RBPT,3,51,,25.0,1:46.050,2022,1:34:05.941,No,,,5645.941,,2.0
Canada,1.0,1,Max Verstappen,Red Bull Racing RBPT,1,70,,25.0,1:15.839,2022,1:36:21.757,No,,,5781.757,,0.0
Great Britain,7.0,1,Max Verstappen,Red Bull Racing RBPT,2,52,,6.0,1:32.354,2022,+18.777,No,,,,,-5.0
Austria,2.0,1,Max Verstappen,Red Bull Racing RBPT,1,71,,19.0,1:07.275,2022,+1.532,Yes,,,,,-1.0
France,1.0,1,Max Verstappen,Red Bull Racing RBPT,2,53,,25.0,1:37.491,2022,1:30:02.112,No,,,5402.112,,1.0
Hungary,1.0,1,Max Verstappen,Red Bull Racing RBPT,10,70,,25.0,1:22.126,2022,1:39:25.912,No,,,5965.912,,9.0
Belgium,1.0,1,Max Verstappen,Red Bull Racing RBPT,14,44,,26.0,1:49.354,2022,1:25:52.894,Yes,,,5152.894,,13.0
Netherlands,1.0,1,Max Verstappen,Red Bull Racing RBPT,1,72,,26.0,1:13.652,2022,1:36:42.773,Yes,,,5802.773,,0.0
Italy,1.0,1,Max Verstappen,Red Bull Racing RBPT,7,53,,25.0,1:24.745,2022,1:20:27.511,No,,,4827.511,,6.0
Singapore,7.0,1,Max Verstappen,Red Bull Racing RBPT,8,59,,6.0,1:49.142,2022,+58.825,No,,,,,1.0
Japan,1.0,1,Max Verstappen,Red Bull Racing RBPT,1,28,,25.0,1:44.911,2022,3:01:44.004,No,,,10904.004,,0.0
United States,1.0,1,Max Verstappen,Red Bull Racing RBPT,2,56,,25.0,1:39.541,2022,1:42:11.687,No,,,6131.687,,1.0
Mexico,1.0,1,Max Verstappen,Red Bull Racing RBPT,1,71,,25.0,1:22.046,2022,1:38:36.729,No,,,5916.729,,0.0
Brazil,6.0,1,Max Verstappen,Red Bull Racing RBPT,3,71,,8.0,1:14.195,2022,+10.056,No,,,,,-3.0
Abu Dhabi,1.0,1,Max Verstappen,Red Bull Racing RBPT,1,58,,25.0,1:29.392,2022,1:27:45.914,No,,,5265.914,,0.0
Bahrain,1.0,1,Max Verstappen,Red Bull Racing Honda RBPT,1,57,,25.0,,2023,1:33:56.736,,No,1:36.236,5636.736,96.23599999999999,0.0
Saudi Arabia,2.0,1,Max Verstappen,Red Bull Racing Honda RBPT,15,50,,19.0,,2023,+5.335,,Yes,1:31.906,,91.906,13.0
Australia,1.0,1,Max Verstappen,Red Bull Racing Honda RBPT,1,58,,25.0,,2023,2:32:28.371,,No,1:20.342,9148.371,80.342,0.0
Azerbaijan,2.0,1,Max Verstappen,Red Bull Racing Honda RBPT,2,51,,18.0,,2023,+2.137,,No,1:44.232,,104.232,0.0
Miami,1.0,1,Max Verstappen,Red Bull Racing Honda RBPT,9,57,,26.0,,2023,1:27:38.241,,Yes,1:29.708,5258.241,89.708,8.0
