Track,Races,Avg_Position,Wins,Total_Points,Seasons_Raced,Win_Rate,Podiums,Podium_Rate,Avg_Points,Circuit_Type
70th Anniversary,1,1.0,1,25.0,1,100.0,1.0,100.0,25.0,
Abu Dhabi,6,2.0,4,128.0,6,66.7,5.0,83.3,21.3,Tilke
Australia,4,5.0,1,58.0,5,25.0,3.0,75.0,14.5,Street Circuit
Austria,5,2.0,3,107.0,6,60.0,4.0,80.0,21.4,Short Circuit
Azerbaijan,6,6.666666666666667,1,66.0,5,16.7,2.0,33.3,11.0,
Bahrain,8,5.625,2,109.0,7,25.0,4.0,50.0,13.6,Tilke
Belgium,5,2.0,3,90.5,6,60.0,4.0,80.0,18.1,High-Speed
Brazil,6,3.8333333333333335,3,102.0,5,50.0,4.0,66.7,17.0,Technical
Canada,6,3.5,3,103.0,5,50.0,4.0,66.7,17.2,Street Circuit
China,4,4.25,1,53.0,3,25.0,1.0,25.0,13.2,Tilke
Eifel,1,2.0,0,19.0,1,0.0,1.0,100.0,19.0,
Emilia Romagna,3,1.0,3,76.0,4,100.0,3.0,100.0,25.3,
Emilia-Romagna,2,9.0,1,25.0,1,50.0,1.0,50.0,12.5,
France,3,2.0,2,63.0,3,66.7,2.0,66.7,21.0,Medium Speed
Germany,1,1.0,1,26.0,1,100.0,1.0,100.0,26.0,
Great Britain,5,3.4,1,79.0,6,20.0,3.0,60.0,15.8,
Hungary,6,3.3333333333333335,2,100.0,6,33.3,4.0,66.7,16.7,Technical
Italy,4,4.0,2,62.0,6,50.0,2.0,50.0,15.5,Low Downforce
Japan,5,2.8,4,103.0,5,80.0,4.0,80.0,20.6,Figure-8
Las Vegas,2,3.0,1,35.0,2,50.0,1.0,50.0,17.5,
Mexico,5,3.0,3,91.0,5,60.0,3.0,60.0,18.2,High Altitude
Miami,4,2.0,2,82.0,4,50.0,3.0,75.0,20.5,
Monaco,7,4.428571428571429,2,97.0,6,28.6,3.0,42.9,13.9,Street Circuit
Netherlands,4,1.25,3,94.0,4,75.0,4.0,100.0,23.5,Banked Corners
Portugal,2,2.5,0,33.0,2,0.0,2.0,100.0,16.5,
Qatar,3,1.3333333333333333,2,70.0,3,66.7,3.0,100.0,23.3,Tilke
Russia,3,2.6666666666666665,0,48.0,3,0.0,2.0,66.7,16.0,
Sakhir,0,,0,0.0,1,,5.0,inf,,
Saudi Arabia,7,4.0,2,111.0,5,28.6,2.0,28.6,15.9,Street Circuit
Singapore,4,4.25,0,49.0,4,0.0,6.0,150.0,12.2,Street Circuit
Spain,8,4.625,3,129.0,7,37.5,2.0,25.0,16.1,
Styria,2,2.0,1,40.0,2,50.0,1.0,50.0,20.0,
Turkey,2,4.0,0,26.0,2,0.0,5.0,250.0,13.0,
Tuscany,0,,0,0.0,1,,,,,
United States,5,1.8,3,105.0,5,60.0,,,21.0,
